원문명칭,데이터구분,탄소계수_KRW
Activities auxiliary to financial intermediation (67),산업(ixi),0.00011672
Activities of membership organisation n.e.c. (91),산업(ixi),0.00023714
Additives/Blending Components,제품(pxp),0.00070397
Air transport (62),산업(ixi),0.00086759
Air transport services (62),제품(pxp),0.00086759
Aluminium and aluminium products,제품(pxp),0.0009942
Aluminium ores and concentrates,제품(pxp),0.00090245
Aluminium production,산업(ixi),0.00108595
Animal products nec,산업(ixi),0.00089295
Animal products nec,제품(pxp),0.00088922
Anthracite,제품(pxp),0.00277949
"Ash for treatment, Re-processing of ash into clinker",제품(pxp),0.0
Aviation Gasoline,제품(pxp),0.00066432
BKB/Peat Briquettes,제품(pxp),0.00085029
Basic iron and steel and of ferro-alloys and first products thereof,제품(pxp),0.00086281
Beverages,제품(pxp),0.0007748
Biodiesels,제품(pxp),0.00070908
Biogas,제품(pxp),0.01108683
"Biogasification of food waste, incl. land application",산업(ixi),0.0
"Biogasification of paper, incl. land application",산업(ixi),0.0
"Biogasification of sewage slugde, incl. land application",산업(ixi),0.0
Biogasoline,제품(pxp),0.00072591
Bitumen,제품(pxp),0.00185223
Blast Furnace Gas,제품(pxp),0.01112729
"Bottles for treatment, Recycling of bottles by direct reuse",제품(pxp),0.00097149
"Bricks, tiles and construction products, in baked clay",제품(pxp),0.0008643
Casting of metals,산업(ixi),0.00076337
Cattle,제품(pxp),0.00140032
Cattle farming,산업(ixi),0.00140043
"Cement, lime and plaster",제품(pxp),0.00325393
Ceramic goods,제품(pxp),0.00063011
Cereal grains nec,제품(pxp),0.00057394
Charcoal,제품(pxp),0.00074494
"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",제품(pxp),0.00050022
Chemicals nec,산업(ixi),0.0007043
Chemicals nec,제품(pxp),0.00086086
Coal Tar,제품(pxp),0.00097801
Coke Oven Coke,제품(pxp),0.00785884
Coke oven gas,제품(pxp),0.01117904
Coking Coal,제품(pxp),0.00238025
"Collected and purified water, distribution services of water (41)",제품(pxp),0.00097149
"Collection, purification and distribution of water (41)",산업(ixi),0.0009715
"Composting of food waste, incl. land application",산업(ixi),0.0
"Composting of paper and wood, incl. land application",산업(ixi),0.0
Computer and related activities (72),산업(ixi),0.00019983
Computer and related services (72),제품(pxp),0.00020008
Construction (45),산업(ixi),0.00046664
Construction work (45),제품(pxp),0.00046664
Copper ores and concentrates,제품(pxp),0.00040076
Copper production,산업(ixi),0.00072131
Copper products,제품(pxp),0.00070707
Crops nec,제품(pxp),8.948e-05
"Crude petroleum and services related to crude oil extraction, excluding surveying",제품(pxp),0.00229012
Cultivation of cereal grains nec,산업(ixi),0.00057859
Cultivation of crops nec,산업(ixi),8.025e-05
Cultivation of oil seeds,산업(ixi),0.00031462
Cultivation of paddy rice,산업(ixi),0.00111103
Cultivation of plant-based fibers,산업(ixi),0.0002252
"Cultivation of sugar cane, sugar beet",산업(ixi),0.0
"Cultivation of vegetables, fruit, nuts",산업(ixi),0.00023012
Cultivation of wheat,산업(ixi),0.00043269
Dairy products,제품(pxp),0.00044256
Distribution and trade of electricity,산업(ixi),0.00014463
Distribution and trade services of electricity,제품(pxp),0.00014905
Distribution services of gaseous fuels through mains,제품(pxp),0.00049182
Education (80),산업(ixi),0.00022779
Education services (80),제품(pxp),0.00022941
Electrical machinery and apparatus n.e.c. (31),제품(pxp),0.00027478
Electricity by Geothermal,제품(pxp),0.00079945
Electricity by biomass and waste,제품(pxp),0.00047925
Electricity by coal,제품(pxp),0.01096608
Electricity by gas,제품(pxp),0.00466093
Electricity by hydro,제품(pxp),0.00026854
Electricity by nuclear,제품(pxp),0.00019844
